anzsic_class_code,anzsic_class_name,anzsic_group_code,year,total_businesses,entry_rate,exit_rate,data_source
0111,Nursery Production (Under Cover),011,2025,331.0,5.7,10.6,ABS 8165.0 DC02 Table 1
0112,Nursery Production (Outdoors),011,2025,809.0,7.3,9.2,ABS 8165.0 DC02 Table 1
0113,Turf Growing,011,2025,442.0,8.2,9.8,ABS 8165.0 DC02 Table 1
0114,Floriculture Production (Under Cover),011,2025,117.0,5.5,13.4,ABS 8165.0 DC02 Table 1
0115,Floriculture Production (Outdoors),011,2025,532.0,8.6,9.0,ABS 8165.0 DC02 Table 1
0121,Mushroom Growing,012,2025,237.0,12.1,13.0,ABS 8165.0 DC02 Table 1
0122,Vegetable Growing (Under Cover),012,2025,931.0,9.0,12.0,ABS 8165.0 DC02 Table 1
0123,Vegetable Growing (Outdoors),012,2025,4475.0,7.6,8.8,ABS 8165.0 DC02 Table 1
0131,Grape Growing,013,2025,4894.0,4.6,8.7,ABS 8165.0 DC02 Table 1
0132,Kiwifruit Growing,013,2025,37.0,0.0,7.5,ABS 8165.0 DC02 Table 1
0133,Berry Fruit Growing,013,2025,595.0,9.3,8.6,ABS 8165.0 DC02 Table 1
0134,Apple and Pear Growing,013,2025,574.0,1.6,8.0,ABS 8165.0 DC02 Table 1
0135,Stone Fruit Growing,013,2025,688.0,6.6,10.0,ABS 8165.0 DC02 Table 1
0136,Citrus Fruit Growing,013,2025,925.0,6.4,7.3,ABS 8165.0 DC02 Table 1
0137,Olive Growing,013,2025,328.0,9.2,15.2,ABS 8165.0 DC02 Table 1
0139,Other Fruit and Tree Nut Growing,013,2025,3612.0,6.1,9.0,ABS 8165.0 DC02 Table 1
0141,Sheep Farming (Specialised),014,2025,8045.0,2.9,6.9,ABS 8165.0 DC02 Table 1
0142,Beef Cattle Farming (Specialised),014,2025,42599.0,6.5,7.2,ABS 8165.0 DC02 Table 1
0143,Beef Cattle Feedlots (Specialised),014,2025,157.0,9.8,7.2,ABS 8165.0 DC02 Table 1
0144,Sheep-Beef Cattle Farming,014,2025,15882.0,7.8,7.4,ABS 8165.0 DC02 Table 1
0145,Grain-Sheep or Grain-Beef Cattle Farming,014,2025,24641.0,6.5,6.2,ABS 8165.0 DC02 Table 1
