division,year,op_start,entries_total,exits_total,op_end,pct_change,entry_rate,exit_rate,data_source
"Agriculture, Forestry and Fishing",2022,173062.0,15514.0,13425.0,175151.0,1.2,9.0,7.8,ABS 8165.0 DC01 Table 1
Mining,2022,8015.0,1184.0,834.0,8365.0,4.4,14.8,10.4,ABS 8165.0 DC01 Table 1
Manufacturing,2022,85793.0,12779.0,9301.0,89271.0,4.1,14.9,10.8,ABS 8165.0 DC01 Table 1
"Electricity, Gas, Water and Waste Services",2022,7947.0,1317.0,938.0,8326.0,4.8,16.6,11.8,ABS 8165.0 DC01 Table 1
Construction,2022,410646.0,80351.0,55648.0,435349.0,6.0,19.6,13.6,ABS 8165.0 DC01 Table 1
Wholesale Trade,2022,80423.0,11702.0,10308.0,81817.0,1.7,14.6,12.8,ABS 8165.0 DC01 Table 1
Retail Trade,2022,149024.0,27861.0,19420.0,157465.0,5.7,18.7,13.0,ABS 8165.0 DC01 Table 1
Accommodation and Food Services,2022,105947.0,19899.0,15374.0,110472.0,4.3,18.8,14.5,ABS 8165.0 DC01 Table 1
"Transport, Postal and Warehousing",2022,196839.0,54853.0,41798.0,209894.0,6.6,27.9,21.2,ABS 8165.0 DC01 Table 1
Information Media and Telecommunications,2022,23537.0,4383.0,3314.0,24606.0,4.5,18.6,14.1,ABS 8165.0 DC01 Table 1
Financial and Insurance Services,2022,112837.0,20385.0,13535.0,119687.0,6.1,18.1,12.0,ABS 8165.0 DC01 Table 1
"Rental, Hiring and Real Estate Services",2022,272350.0,38201.0,24431.0,286120.0,5.1,14.0,9.0,ABS 8165.0 DC01 Table 1
"Professional, Scientific and Technical Services",2022,314136.0,55413.0,40112.0,329437.0,4.9,17.6,12.8,ABS 8165.0 DC01 Table 1
Administrative and Support Services,2022,107095.0,28115.0,17363.0,117847.0,10.0,26.3,16.2,ABS 8165.0 DC01 Table 1
Public Administration and Safety,2022,7047.0,1623.0,1160.0,7510.0,6.6,23.0,16.5,ABS 8165.0 DC01 Table 1
Education and Training,2022,37265.0,7983.0,4720.0,40528.0,8.8,21.4,12.7,ABS 8165.0 DC01 Table 1
Health Care and Social Assistance,2022,160102.0,28374.0,14512.0,173964.0,8.7,17.7,9.1,ABS 8165.0 DC01 Table 1
Arts and Recreation Services,2022,33758.0,7275.0,4376.0,36657.0,8.6,21.6,13.0,ABS 8165.0 DC01 Table 1
Other Services,2022,114252.0,24970.0,14060.0,125162.0,9.5,21.9,12.3,ABS 8165.0 DC01 Table 1
"Agriculture, Forestry and Fishing",2023,175151.0,13837.0,14430.0,174558.0,-0.3,7.9,8.2,ABS 8165.0 DC01 Table 1
Mining,2023,8365.0,980.0,893.0,8452.0,1.0,11.7,10.7,ABS 8165.0 DC01 Table 1
Manufacturing,2023,89271.0,11223.0,10573.0,89921.0,0.7,12.6,11.8,ABS 8165.0 DC01 Table 1
"Electricity, Gas, Water and Waste Services",2023,8326.0,1256.0,1020.0,8562.0,2.8,15.1,12.3,ABS 8165.0 DC01 Table 1
Construction,2023,435349.0,73053.0,64447.0,443955.0,2.0,16.8,14.8,ABS 8165.0 DC01 Table 1
Wholesale Trade,2023,81817.0,11211.0,11054.0,81974.0,0.2,13.7,13.5,ABS 8165.0 DC01 Table 1
Retail Trade,2023,157465.0,23774.0,24103.0,157136.0,-0.2,15.1,15.3,ABS 8165.0 DC01 Table 1
Accommodation and Food Services,2023,110472.0,18337.0,18543.0,110266.0,-0.2,16.6,16.8,ABS 8165.0 DC01 Table 1
"Transport, Postal and Warehousing",2023,209894.0,55203.0,46428.0,218669.0,4.2,26.3,22.1,ABS 8165.0 DC01 Table 1
Information Media and Telecommunications,2023,24606.0,3864.0,3773.0,24697.0,0.4,15.7,15.3,ABS 8165.0 DC01 Table 1
Financial and Insurance Services,2023,119687.0,18692.0,15325.0,123054.0,2.8,15.6,12.8,ABS 8165.0 DC01 Table 1
"Rental, Hiring and Real Estate Services",2023,286120.0,32546.0,28328.0,290338.0,1.5,11.4,9.9,ABS 8165.0 DC01 Table 1
"Professional, Scientific and Technical Services",2023,329437.0,51370.0,44998.0,335809.0,1.9,15.6,13.7,ABS 8165.0 DC01 Table 1
Administrative and Support Services,2023,117847.0,24843.0,21920.0,120770.0,2.5,21.1,18.6,ABS 8165.0 DC01 Table 1
Public Administration and Safety,2023,7510.0,1369.0,1347.0,7532.0,0.3,18.2,17.9,ABS 8165.0 DC01 Table 1
Education and Training,2023,40528.0,6410.0,6004.0,40934.0,1.0,15.8,14.8,ABS 8165.0 DC01 Table 1
Health Care and Social Assistance,2023,173964.0,29664.0,17961.0,185667.0,6.7,17.1,10.3,ABS 8165.0 DC01 Table 1
Arts and Recreation Services,2023,36657.0,6645.0,5647.0,37655.0,2.7,18.1,15.4,ABS 8165.0 DC01 Table 1
Other Services,2023,125162.0,21737.0,18935.0,127964.0,2.2,17.4,15.1,ABS 8165.0 DC01 Table 1
"Agriculture, Forestry and Fishing",2024,174558.0,12612.0,14816.0,172354.0,-1.3,7.2,8.5,ABS 8165.0 DC01 Table 1
Mining,2024,8452.0,1019.0,887.0,8584.0,1.6,12.1,10.5,ABS 8165.0 DC01 Table 1
Manufacturing,2024,89921.0,11548.0,10973.0,90496.0,0.6,12.8,12.2,ABS 8165.0 DC01 Table 1
"Electricity, Gas, Water and Waste Services",2024,8562.0,1355.0,1131.0,8786.0,2.6,15.8,13.2,ABS 8165.0 DC01 Table 1
Construction,2024,443955.0,76565.0,67583.0,452937.0,2.0,17.2,15.2,ABS 8165.0 DC01 Table 1
Wholesale Trade,2024,81974.0,11473.0,11447.0,82000.0,0.0,14.0,14.0,ABS 8165.0 DC01 Table 1
Retail Trade,2024,157136.0,24483.0,24834.0,156785.0,-0.2,15.6,15.8,ABS 8165.0 DC01 Table 1
Accommodation and Food Services,2024,110266.0,19527.0,18237.0,111556.0,1.2,17.7,16.5,ABS 8165.0 DC01 Table 1
"Transport, Postal and Warehousing",2024,218669.0,63796.0,45170.0,237295.0,8.5,29.2,20.7,ABS 8165.0 DC01 Table 1
Information Media and Telecommunications,2024,24697.0,4005.0,3819.0,24883.0,0.8,16.2,15.5,ABS 8165.0 DC01 Table 1
Financial and Insurance Services,2024,123054.0,21044.0,15136.0,128962.0,4.8,17.1,12.3,ABS 8165.0 DC01 Table 1
"Rental, Hiring and Real Estate Services",2024,290338.0,36264.0,27736.0,298866.0,2.9,12.5,9.6,ABS 8165.0 DC01 Table 1
