division,cohort_jun2021,surv_jun2022,surv_rate_1yr,surv_jun2023,surv_rate_2yr,surv_jun2024,surv_rate_3yr,surv_jun2025,surv_rate_4yr,data_source
"Agriculture, Forestry and Fishing",173062.0,159637.0,92.2,148102.0,85.6,138053.0,79.8,129556.0,74.9,ABS 8165.0 DC01 Table 2
Mining,8015.0,7181.0,89.6,6550.0,81.7,6081.0,75.9,5682.0,70.9,ABS 8165.0 DC01 Table 2
Manufacturing,85793.0,76492.0,89.2,68832.0,80.2,62727.0,73.1,57316.0,66.8,ABS 8165.0 DC01 Table 2
"Electricity, Gas, Water and Waste Services",7947.0,7009.0,88.2,6313.0,79.4,5778.0,72.7,5316.0,66.9,ABS 8165.0 DC01 Table 2
Construction,410646.0,354998.0,86.4,310070.0,75.5,276972.0,67.4,250006.0,60.9,ABS 8165.0 DC01 Table 2
Wholesale Trade,80423.0,70115.0,87.2,62234.0,77.4,56333.0,70.0,51370.0,63.9,ABS 8165.0 DC01 Table 2
Retail Trade,149024.0,129604.0,87.0,112916.0,75.8,99452.0,66.7,87994.0,59.0,ABS 8165.0 DC01 Table 2
Accommodation and Food Services,105947.0,90573.0,85.5,76950.0,72.6,66245.0,62.5,57933.0,54.7,ABS 8165.0 DC01 Table 2
"Transport, Postal and Warehousing",196839.0,155041.0,78.8,126727.0,64.4,109211.0,55.5,95410.0,48.5,ABS 8165.0 DC01 Table 2
Information Media and Telecommunications,23537.0,20223.0,85.9,17496.0,74.3,15407.0,65.5,13855.0,58.9,ABS 8165.0 DC01 Table 2
Financial and Insurance Services,112837.0,99302.0,88.0,89096.0,79.0,81574.0,72.3,75044.0,66.5,ABS 8165.0 DC01 Table 2
"Rental, Hiring and Real Estate Services",272350.0,247919.0,91.0,227986.0,83.7,212215.0,77.9,198799.0,73.0,ABS 8165.0 DC01 Table 2
"Professional, Scientific and Technical Services",314136.0,274024.0,87.2,241432.0,76.9,216579.0,68.9,196266.0,62.5,ABS 8165.0 DC01 Table 2
Administrative and Support Services,107095.0,89732.0,83.8,76122.0,71.1,66578.0,62.2,59189.0,55.3,ABS 8165.0 DC01 Table 2
Public Administration and Safety,7047.0,5887.0,83.5,5067.0,71.9,4493.0,63.8,4028.0,57.2,ABS 8165.0 DC01 Table 2
Education and Training,37265.0,32545.0,87.3,28471.0,76.4,25360.0,68.1,22972.0,61.6,ABS 8165.0 DC01 Table 2
Health Care and Social Assistance,160102.0,145590.0,90.9,133097.0,83.1,122995.0,76.8,114415.0,71.5,ABS 8165.0 DC01 Table 2
Arts and Recreation Services,33758.0,29382.0,87.0,25480.0,75.5,22453.0,66.5,20082.0,59.5,ABS 8165.0 DC01 Table 2
Other Services,114252.0,100192.0,87.7,87424.0,76.5,77881.0,68.2,69997.0,61.3,ABS 8165.0 DC01 Table 2
