anzsic_class_code,anzsic_class_name,anzsic_group_code,year,non_employing,emp_1_4,emp_5_19,emp_20_199,emp_200plus,total_businesses,data_source
0111,Nursery Production (Under Cover),011,2025,207.0,69.0,35.0,20.0,0.0,331.0,ABS 8165.0 DC02 Table 1
0112,Nursery Production (Outdoors),011,2025,436.0,194.0,140.0,39.0,0.0,809.0,ABS 8165.0 DC02 Table 1
0113,Turf Growing,011,2025,217.0,126.0,86.0,13.0,0.0,442.0,ABS 8165.0 DC02 Table 1
0114,Floriculture Production (Under Cover),011,2025,70.0,24.0,17.0,6.0,0.0,117.0,ABS 8165.0 DC02 Table 1
0115,Floriculture Production (Outdoors),011,2025,316.0,133.0,54.0,28.0,0.0,532.0,ABS 8165.0 DC02 Table 1
0121,Mushroom Growing,012,2025,135.0,53.0,25.0,23.0,3.0,237.0,ABS 8165.0 DC02 Table 1
0122,Vegetable Growing (Under Cover),012,2025,669.0,177.0,58.0,25.0,0.0,931.0,ABS 8165.0 DC02 Table 1
0123,Vegetable Growing (Outdoors),012,2025,3013.0,871.0,414.0,165.0,12.0,4475.0,ABS 8165.0 DC02 Table 1
0131,Grape Growing,013,2025,3562.0,877.0,337.0,117.0,0.0,4894.0,ABS 8165.0 DC02 Table 1
0132,Kiwifruit Growing,013,2025,25.0,5.0,4.0,3.0,0.0,37.0,ABS 8165.0 DC02 Table 1
0133,Berry Fruit Growing,013,2025,315.0,162.0,60.0,53.0,5.0,595.0,ABS 8165.0 DC02 Table 1
0134,Apple and Pear Growing,013,2025,338.0,106.0,73.0,55.0,3.0,574.0,ABS 8165.0 DC02 Table 1
0135,Stone Fruit Growing,013,2025,419.0,155.0,82.0,29.0,3.0,688.0,ABS 8165.0 DC02 Table 1
0136,Citrus Fruit Growing,013,2025,649.0,159.0,77.0,37.0,3.0,925.0,ABS 8165.0 DC02 Table 1
0137,Olive Growing,013,2025,271.0,38.0,15.0,4.0,0.0,328.0,ABS 8165.0 DC02 Table 1
0139,Other Fruit and Tree Nut Growing,013,2025,2485.0,629.0,336.0,157.0,5.0,3612.0,ABS 8165.0 DC02 Table 1
0141,Sheep Farming (Specialised),014,2025,5704.0,1798.0,509.0,34.0,0.0,8045.0,ABS 8165.0 DC02 Table 1
0142,Beef Cattle Farming (Specialised),014,2025,37233.0,4422.0,812.0,129.0,3.0,42599.0,ABS 8165.0 DC02 Table 1
0143,Beef Cattle Feedlots (Specialised),014,2025,95.0,27.0,23.0,11.0,0.0,157.0,ABS 8165.0 DC02 Table 1
0144,Sheep-Beef Cattle Farming,014,2025,12287.0,2801.0,739.0,54.0,0.0,15882.0,ABS 8165.0 DC02 Table 1
0145,Grain-Sheep or Grain-Beef Cattle Farming,014,2025,17172.0,5827.0,1558.0,84.0,0.0,24641.0,ABS 8165.0 DC02 Table 1
0146,Rice Growing,014,2025,122.0,48.0,9.0,0.0,0.0,179.0,ABS 8165.0 DC02 Table 1
0149,Other Grain Growing,014,2025,6812.0,2715.0,705.0,47.0,6.0,10285.0,ABS 8165.0 DC02 Table 1
0151,Sugar Cane Growing,015,2025,3048.0,752.0,146.0,27.0,0.0,3973.0,ABS 8165.0 DC02 Table 1
0152,Cotton Growing,015,2025,505.0,203.0,114.0,18.0,0.0,840.0,ABS 8165.0 DC02 Table 1
0159,Other Crop Growing n.e.c.,015,2025,1520.0,302.0,97.0,27.0,0.0,1948.0,ABS 8165.0 DC02 Table 1
0160,Dairy Cattle Farming,016,2025,5385.0,1847.0,731.0,80.0,3.0,8044.0,ABS 8165.0 DC02 Table 1
0171,Poultry Farming (Meat),017,2025,456.0,271.0,90.0,30.0,0.0,849.0,ABS 8165.0 DC02 Table 1
0172,Poultry Farming (Eggs),017,2025,305.0,129.0,69.0,27.0,3.0,532.0,ABS 8165.0 DC02 Table 1
0180,Deer Farming,018,2025,72.0,9.0,0.0,0.0,0.0,82.0,ABS 8165.0 DC02 Table 1
0191,Horse Farming,019,2025,2680.0,432.0,157.0,42.0,3.0,3313.0,ABS 8165.0 DC02 Table 1
0192,Pig Farming,019,2025,439.0,131.0,74.0,22.0,3.0,668.0,ABS 8165.0 DC02 Table 1
0193,Beekeeping,019,2025,904.0,257.0,62.0,5.0,0.0,1228.0,ABS 8165.0 DC02 Table 1
0199,Other Livestock Farming n.e.c.,019,2025,1535.0,265.0,81.0,8.0,0.0,1889.0,ABS 8165.0 DC02 Table 1
0201,Offshore Longline and Rack Aquaculture,020,2025,318.0,153.0,67.0,17.0,0.0,556.0,ABS 8165.0 DC02 Table 1
0202,Offshore Caged Aquaculture,020,2025,31.0,12.0,0.0,4.0,0.0,51.0,ABS 8165.0 DC02 Table 1
0203,Onshore Aquaculture,020,2025,239.0,77.0,34.0,20.0,3.0,371.0,ABS 8165.0 DC02 Table 1
0301,Forestry,030,2025,1335.0,132.0,45.0,34.0,3.0,1548.0,ABS 8165.0 DC02 Table 1
0302,Logging,030,2025,831.0,476.0,145.0,49.0,0.0,1501.0,ABS 8165.0 DC02 Table 1
0411,Rock Lobster and Crab Potting,041,2025,983.0,396.0,34.0,8.0,0.0,1421.0,ABS 8165.0 DC02 Table 1
