subdivision_code,subdivision_name,emp_size_band,cohort_2021,surv_rate_1yr,surv_rate_2yr,surv_rate_3yr,surv_rate_4yr,data_source
01,Agriculture,non_employing,107549,91.5,84.4,78.2,73.0,ABS 8165.0 DC04 Table 1
01,Agriculture,emp_1_4,30282,96.0,91.9,88.0,84.2,ABS 8165.0 DC04 Table 1
01,Agriculture,emp_5_19,8828,97.5,94.1,90.9,87.9,ABS 8165.0 DC04 Table 1
01,Agriculture,emp_20_199,1473,98.4,95.0,92.3,89.5,ABS 8165.0 DC04 Table 1
01,Agriculture,emp_200plus,68,100.0,95.6,92.6,89.7,ABS 8165.0 DC04 Table 1
01,Agriculture,total,148198,92.9,86.6,81.1,76.3,ABS 8165.0 DC04 Table 1
02,Aquaculture,non_employing,617,87.5,76.3,67.9,64.3,ABS 8165.0 DC04 Table 1
02,Aquaculture,emp_1_4,286,94.4,88.1,82.9,79.0,ABS 8165.0 DC04 Table 1
02,Aquaculture,emp_5_19,120,96.7,90.8,84.2,81.7,ABS 8165.0 DC04 Table 1
02,Aquaculture,emp_20_199,39,97.4,94.9,82.1,79.5,ABS 8165.0 DC04 Table 1
02,Aquaculture,emp_200plus,6,100.0,100.0,100.0,100.0,ABS 8165.0 DC04 Table 1
02,Aquaculture,total,1070,90.8,82.0,74.5,70.9,ABS 8165.0 DC04 Table 1
03,Forestry and Logging,non_employing,2620,82.1,69.4,59.9,52.6,ABS 8165.0 DC04 Table 1
03,Forestry and Logging,emp_1_4,639,92.0,82.8,74.5,67.9,ABS 8165.0 DC04 Table 1
03,Forestry and Logging,emp_5_19,217,94.5,92.2,89.9,86.6,ABS 8165.0 DC04 Table 1
03,Forestry and Logging,emp_20_199,89,95.5,95.5,93.3,86.5,ABS 8165.0 DC04 Table 1
03,Forestry and Logging,emp_200plus,3,100.0,100.0,0.0,0.0,ABS 8165.0 DC04 Table 1
03,Forestry and Logging,total,3570,85.1,73.9,65.3,58.4,ABS 8165.0 DC04 Table 1
04,"Fishing, Hunting and Trapping",non_employing,3631,88.7,80.0,72.1,66.2,ABS 8165.0 DC04 Table 1
04,"Fishing, Hunting and Trapping",emp_1_4,1285,94.9,88.8,83.9,79.5,ABS 8165.0 DC04 Table 1
