making_year,register_id,title,type,subtype,anzsic_code,anzsic_name,bc_requirements,regdata_requirements
2004,C2004A00004,Death Penalty Abolition Act 1973,Primary,Act,O,Public Administration and Safety,2,5
2004,C2004A00006,Defence Force Retirement and Death Benefits Act 1973,Primary,Act,O,Public Administration and Safety,253,283
2004,C2004A00007,Defence Forces Retirement Benefits (Pension Increases) Act 1973,Primary,Act,O,Public Administration and Safety,13,13
2004,C2004A00019,International Labour Organisation Act 1973,Primary,Act,S,Other Services,90,92
2004,C2004A00023,Loan Act 1973,Primary,Act,K,Financial and Insurance Services,4,4
2004,C2004A00024,Maternity Leave (Commonwealth Employees) Act 1973,Primary,Act,O,Public Administration and Safety,30,37
2004,C2004A00031,Papua New Guinea Loan Guarantee Act 1973,Primary,Act,K,Financial and Insurance Services,2,3
2004,C2004A00033,Papua New Guinea (Staffing Assistance) Act 1973,Primary,Act,N,Administrative and Support Services,26,30
2004,C2004A00034,Papua New Guinea (Transfer of Banking Business) Act 1973,Primary,Act,K,Financial and Insurance Services,5,5
2004,C2004A00035,Parliamentary and Judicial Retiring Allowances Act 1973,Primary,Act,O,Public Administration and Safety,53,55
2004,C2004A00043,Remuneration Tribunal Act 1973,Primary,Act,P,Education and Training,65,73
2004,C2004A00044,Royal Style and Titles Act 1973,Primary,Act,O,Public Administration and Safety,2,2
2004,C2004A00046,Seas and Submerged Lands Act 1973,Primary,Act,O,Public Administration and Safety,133,158
2004,C2004A00047,Sewerage Agreements Act 1973,Primary,Act,O,Public Administration and Safety,41,43
2004,C2004A00058,Student Assistance Act 1973,Primary,Act,P,Education and Training,166,185
2004,C2004A00074,Superannuation (Distribution of Surplus) Act 1974,Primary,Act,K,Financial and Insurance Services,12,12
2004,C2004A00075,Governor-General Act 1974,Primary,Act,K,Financial and Insurance Services,24,26
2004,C2004A00081,International Monetary Agreements Act 1974,Primary,Act,K,Financial and Insurance Services,5,6
2004,C2004A00086,"Income Tax (Dividends, Interest and Royalties Withholding Tax) Act 1974",Primary,Act,N,Administrative and Support Services,2,2
2004,C2004A00093,Canberra Water Supply (Googong Dam) Act 1974,Primary,Act,D,"Electricity, Gas, Water and Waste Services",18,30
2004,C2004A00100,Human Services (Medicare) Act 1973,Primary,Act,Q,Health Care and Social Assistance,50,63
2004,C2004A00101,Health Insurance Act 1973,Primary,Act,Q,Health Care and Social Assistance,448,558
2004,C2004A00102,Petroleum and Minerals Authority Act 1973,Primary,Act,B,Mining,76,88
2004,C2004A00109,Competition and Consumer Act 2010,Primary,Act,G,Retail Trade,673,830
2004,C2004A00131,Sewerage Agreements Act 1974,Primary,Act,O,Public Administration and Safety,12,15
2004,C2004A00148,Repatriation Acts Amendment Act 1974,Primary,Act,N,Administrative and Support Services,40,43
2004,C2004A00163,Defence Force Retirement and Death Benefits (Pension Increases) Act 1974,Primary,Act,K,Financial and Insurance Services,21,21
2004,C2004A00191,Urban and Regional Development (Financial Assistance) Act 1974,Primary,Act,K,Financial and Insurance Services,6,7
2004,C2004A00192,International Arbitration Act 1974,Primary,Act,U,Unclassified,364,398
2004,C2004A00200,Loan Act 1974,Primary,Act,K,Financial and Insurance Services,4,4
2004,C2004A00221,Parliament Act 1974,Primary,Act,E,Construction,2,2
2004,C2004A00250,Common Informers (Parliamentary Disqualifications) Act 1975,Primary,Act,N,Administrative and Support Services,4,5
2004,C2004A00255,Privy Council (Appeals from the High Court) Act 1975,Primary,Act,U,Unclassified,1,2
2004,C2004A00274,Racial Discrimination Act 1975,Primary,Act,L,"Rental, Hiring and Real Estate Services",112,135
2004,C2004A00275,Family Law Act 1975,Primary,Act,K,Financial and Insurance Services,277,367
2004,C2004A00278,Postal and Telecommunications Commissions (Transitional Provisions) Act 1975,Primary,Act,I,"Transport, Postal and Warehousing",65,67
2004,C2004A00282,Australian Bureau of Statistics Act 1975,Primary,Act,N,Administrative and Support Services,36,39
2004,C2004A00283,National Gallery Act 1975,Primary,Act,K,Financial and Insurance Services,56,64
2004,C2004A00284,Loan (War Service Land Settlement) Act 1975,Primary,Act,K,Financial and Insurance Services,2,2
2004,C2004A00298,Customs Tariff (Anti-Dumping) Act 1975,Primary,Act,F,Wholesale Trade,35,44
