making_year,register_id,title,type,subtype,anzsic_code,anzsic_name,bc_requirements,regdata_requirements
2005,F2005L03052,Tariff Concession Order 0509758,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006L01297,AD/CONVAIR/23 - Fuselage Stringer and Beltframe Attachment between Stations 140 and 889,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",5,5
2006,F2006B10922,AD/JETSTREAM/52 - Escape Hatch Shear Fitting,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,1,1
2010,F2010L01182,Tariff Concession Order 0940329,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2005,F2005L03951,AD/DO 328/13 - Engine Controls Power and Condition Control Cables,Secondary,Aviation - Airworthiness Directive,D,"Electricity, Gas, Water and Waste Services",0,0
2010,F2010L01393,Tariff Concession Order 0944788,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L03394,Tariff Concession Revocation Order HS2007/625A - Tariff Concession Order 0614623,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2018,F2018L00221,Radiocommunications (Spectrum Re-allocation—3.6 GHz Band for Perth) Declaration 2018,Secondary,Declaration,J,Information Media and Telecommunications,0,0
2006,F2006B06306,AD/PORSCHE/3 - Valve Springs,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2017,F2017L00141,National Health (Multiple Hospitals Paperless Claiming Trial) Special Arrangement 2017 (PB 14 of 2017),Secondary,Other Instrument,Q,Health Care and Social Assistance,9,10
2025,F2025L00546,Financial Sector (Collection of Data) (reporting standard) determination No. 7 of 2025,Secondary,Determination,K,Financial and Insurance Services,26,27
2018,F2018L01583,Radiocommunications (Body Scanning – Aviation Security) Class Licence 2018,Secondary,Other Instrument,J,Information Media and Telecommunications,3,6
2009,F2009L04171,Tariff Concession Order 0908209,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B06775,AD/SA-TP/26 Amdt 1 - Flap Operating System,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2011,F2011L00714,Tariff Concession Order 1050848,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B02244,AD/AL 250/25 Amdt 1 - Power Turbine Outer Coupling Nut - Inspection,Secondary,Aviation - Airworthiness Directive,D,"Electricity, Gas, Water and Waste Services",0,0
2006,F2006B05369,AD/P68/42 - Wing Upper Skin Stringers,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2009,F2009L00215,AD/CL-600/104 Amdt 1 - Inboard Flap Actuator,Secondary,Aviation - Airworthiness Directive,N,Administrative and Support Services,1,1
2025,F2025L01148,ASIC Corporations (Compromises or Arrangements) Instrument 2025/613,Secondary,Instrument,K,Financial and Insurance Services,0,0
2005,F2005L03445,Tariff Concession Order 0511033,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
